algorithm,input_type,n,size_category,avg_time_ms,max_depth,comparisons
MergeSort,random,1000,small,0.0329,7,10308
QuickSort,random,1000,small,0.0596,8,17612
DeterministicSelect,random,1000,small,0.0256,5,9026
MergeSort,sorted,1000,small,0.0092,7,3956
QuickSort,sorted,1000,small,0.0425,8,17816
DeterministicSelect,sorted,1000,small,0.0157,5,7792
MergeSort,reverse,1000,small,0.0193,7,10300
QuickSort,reverse,1000,small,0.0446,7,17662
DeterministicSelect,reverse,1000,small,0.0165,5,8843
MergeSort,duplicates,1000,small,0.0195,7,9777
QuickSort,duplicates,1000,small,0.0150,4,5945
DeterministicSelect,duplicates,1000,small,0.0076,5,3866
ClosestPair,random,1000,small,0.2164,10,1154
ClosestPairBruteForce,random,1000,small,0.8217,0,499500
MergeSort,random,2000,small,0.0809,8,22475
QuickSort,random,2000,small,0.1306,9,39405
DeterministicSelect,random,2000,small,0.0563,5,18533
MergeSort,sorted,2000,small,0.0152,8,8912
QuickSort,sorted,2000,small,0.0926,8,40630
DeterministicSelect,sorted,2000,small,0.0354,5,15842
MergeSort,reverse,2000,small,0.0424,8,21600
QuickSort,reverse,2000,small,0.0928,8,40324
DeterministicSelect,reverse,2000,small,0.0355,5,18100
MergeSort,duplicates,2000,small,0.0546,8,21372
QuickSort,duplicates,2000,small,0.0261,4,11401
DeterministicSelect,duplicates,2000,small,0.0173,5,7701
ClosestPair,random,2000,small,0.5410,11,2288
ClosestPairBruteForce,random,2000,small,2.7494,0,1999000
MergeSort,random,5000,medium,0.2513,10,58581
QuickSort,random,5000,medium,0.3347,10,111437
DeterministicSelect,random,5000,medium,0.1400,6,47849
MergeSort,sorted,5000,medium,0.0447,10,27124
QuickSort,sorted,5000,medium,0.2342,10,111244
DeterministicSelect,sorted,5000,medium,0.0843,6,41770
MergeSort,reverse,5000,medium,0.0916,10,44324
QuickSort,reverse,5000,medium,0.2469,9,118158
DeterministicSelect,reverse,5000,medium,0.1018,6,46336
MergeSort,duplicates,5000,medium,0.1507,10,55982
QuickSort,duplicates,5000,medium,0.0622,4,25853
DeterministicSelect,duplicates,5000,medium,0.0524,6,19334
ClosestPair,random,5000,medium,1.4624,12,6454
ClosestPairBruteForce,random,5000,medium,17.0205,0,12497500
MergeSort,random,10000,medium,0.5535,11,126966
QuickSort,random,10000,medium,0.7206,10,244345
DeterministicSelect,random,10000,medium,0.3027,6,99742
MergeSort,sorted,10000,medium,0.0987,11,59248
QuickSort,sorted,10000,medium,0.5087,10,248280
DeterministicSelect,sorted,10000,medium,0.1716,6,84304
MergeSort,reverse,10000,medium,0.1981,11,93648
QuickSort,reverse,10000,medium,0.4950,10,240560
DeterministicSelect,reverse,10000,medium,0.1931,6,93661
MergeSort,duplicates,10000,medium,0.3411,11,121587
QuickSort,duplicates,10000,medium,0.1277,4,58204
DeterministicSelect,duplicates,10000,medium,0.1143,6,38586
ClosestPair,random,10000,medium,3.9290,13,12994
ClosestPairBruteForce,random,10000,medium,68.2100,0,49995000
MergeSort,random,20000,medium,1.1339,12,274114
QuickSort,random,20000,medium,1.5413,11,532664
DeterministicSelect,random,20000,medium,0.6115,7,197395
MergeSort,sorted,20000,medium,0.2013,12,128496
QuickSort,sorted,20000,medium,1.0353,12,528106
DeterministicSelect,sorted,20000,medium,0.3612,7,171306
MergeSort,reverse,20000,medium,0.4042,12,197296
QuickSort,reverse,20000,medium,1.0698,11,531004
DeterministicSelect,reverse,20000,medium,0.3848,7,188527
MergeSort,duplicates,20000,medium,0.6526,12,262176
QuickSort,duplicates,20000,medium,0.3028,4,122787
DeterministicSelect,duplicates,20000,medium,0.5377,7,138562
ClosestPair,random,20000,medium,6.0907,14,26065
ClosestPairBruteForce,random,20000,medium,264.6949,0,199990000
MergeSort,random,50000,large,3.0078,13,769473
QuickSort,random,50000,large,4.0141,12,1473563
DeterministicSelect,random,50000,large,1.4325,7,509396
MergeSort,sorted,50000,large,0.8026,13,347008
QuickSort,sorted,50000,large,2.7541,12,1494254
DeterministicSelect,sorted,50000,large,0.8281,7,435641
MergeSort,reverse,50000,large,1.1416,13,579408
QuickSort,reverse,50000,large,2.7150,12,1454007
DeterministicSelect,reverse,50000,large,0.9258,7,478423
MergeSort,duplicates,50000,large,1.6869,13,733388
QuickSort,duplicates,50000,large,0.7742,4,286199
DeterministicSelect,duplicates,50000,large,0.7037,7,193094
ClosestPair,random,50000,large,18.4034,16,71093
MergeSort,random,100000,large,6.6658,14,1638600
QuickSort,random,100000,large,8.7622,13,3164688
DeterministicSelect,random,100000,large,2.8403,8,993672
MergeSort,sorted,100000,large,1.1185,14,744016
QuickSort,sorted,100000,large,6.7165,12,3182067
DeterministicSelect,sorted,100000,large,1.6939,8,876589
MergeSort,reverse,100000,large,2.4064,14,1208816
QuickSort,reverse,100000,large,5.9590,12,3120278
DeterministicSelect,reverse,100000,large,1.8570,8,955921
MergeSort,duplicates,100000,large,3.5523,14,1560860
QuickSort,duplicates,100000,large,1.2891,4,546996
DeterministicSelect,duplicates,100000,large,1.2931,8,440200
ClosestPair,random,100000,large,36.4673,17,142730
MergeSort,random,200000,large,14.0408,15,3478362
QuickSort,random,200000,large,19.1992,13,6678585
DeterministicSelect,random,200000,large,5.7298,8,2012328
MergeSort,sorted,200000,large,2.4855,15,1588032
QuickSort,sorted,200000,large,13.5512,13,6723158
DeterministicSelect,sorted,200000,large,3.4540,8,1765353
MergeSort,reverse,200000,large,5.3732,15,2517632
QuickSort,reverse,200000,large,12.6217,13,6690166
DeterministicSelect,reverse,200000,large,3.7137,8,1931948
MergeSort,duplicates,200000,large,7.5502,15,3314039
QuickSort,duplicates,200000,large,2.5764,4,1157095
DeterministicSelect,duplicates,200000,large,2.3224,8,742830
ClosestPair,random,200000,large,77.8003,18,285994
MergeSort,random,500000,large,37.9732,16,9610942
QuickSort,random,500000,large,49.4226,14,18048156
DeterministicSelect,random,500000,large,14.0826,9,5114845
MergeSort,sorted,500000,large,7.1180,16,4226160
QuickSort,sorted,500000,large,33.0672,14,18160222
DeterministicSelect,sorted,500000,large,7.8383,9,4428959
MergeSort,reverse,500000,large,16.3937,16,7308912
QuickSort,reverse,500000,large,34.4018,14,18215422
DeterministicSelect,reverse,500000,large,8.8255,9,4846158
MergeSort,duplicates,500000,large,21.0297,16,9125495
QuickSort,duplicates,500000,large,6.1878,3,2892697
DeterministicSelect,duplicates,500000,large,5.6927,9,1933302
ClosestPair,random,500000,large,262.1995,19,608721
MergeSort,random,1000000,large,78.7708,17,20221585
QuickSort,random,1000000,large,103.0703,15,38863985
DeterministicSelect,random,1000000,large,30.3182,9,10324900
MergeSort,sorted,1000000,large,14.4012,17,8952320
QuickSort,sorted,1000000,large,68.1517,14,38257832
DeterministicSelect,sorted,1000000,large,15.7884,9,8906250
MergeSort,reverse,1000000,large,32.3150,17,15117824
QuickSort,reverse,1000000,large,67.4188,15,38428443
DeterministicSelect,reverse,1000000,large,17.5815,9,9687143
MergeSort,duplicates,1000000,large,40.5372,17,19207790
QuickSort,duplicates,1000000,large,12.1093,4,5556209
DeterministicSelect,duplicates,1000000,large,12.1020,9,3869302
ClosestPair,random,1000000,large,569.2330,20,1218479
